Scene,Scene ID,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22
A&W1,DSC_0593.NEF,-0.997196763613029,-0.0033516969903452406,4489.281783416523,0.00823645569411222,-1.0055932035813446,2852.940738189285,3.9501586533148326e-06,1.2958654917418207e-07,1.0
A&W1,DSC_0594.NEF,-0.9980823082100226,-0.001979702053309474,4492.037350604897,0.008146248382740405,-1.0059868788681765,2856.0740679423525,4.154991746784161e-06,5.81241857603256e-07,0.9999999999999999
A&W1,DSC_0595.NEF,-0.9982517516187773,-0.0021406996577576424,4489.388549801447,0.007542042179301549,-1.0043767403545167,2851.355522482855,3.5106760407272e-06,6.80164100881774e-07,0.9999999999999999
A&W1,DSC_0596.NEF,-0.9976459275784869,-0.0024908160357388636,4488.504562964946,0.007735666811351762,-1.0045715544603373,2851.712750798937,3.5322687740019474e-06,4.872054897163043e-07,1.0
A&W1,DSC_0597.NEF,-0.9973977845383843,-0.0029506652101236996,4488.2738345933185,0.00813355704788889,-1.0053504391985746,2847.640792661127,3.8056371030888297e-06,-1.7853515330244024e-07,0.9999999999999999
A&W1,DSC_0598.NEF,-0.9972246351182944,-0.0031149109077490533,4485.790592558221,0.007788580611276047,-1.0045572759052148,2848.054272777682,3.51135480155158e-06,-4.290734699520105e-07,1.0
A&W1,DSC_0599.NEF,-0.998210357438368,-0.0014413146792027957,4489.7542409909365,0.007273543143119266,-1.0043807954316046,2852.4746349354464,3.55212456339596e-06,8.853978548791696e-07,1.0
A&W1,DSC_0600.NEF,-0.9981804482358332,-0.0014292752312163842,4489.771147152357,0.007726057003068681,-1.00440982963472,2850.511874416645,3.6021332199461173e-06,8.974656558676942e-07,1.0
A&W1,DSC_0601.NEF,-0.997299930390811,-0.0035453119623801476,4490.702398801348,0.0078092411404649545,-1.0062026083438294,2849.449372075312,4.207870871262152e-06,-2.1826727618748534e-07,1.0
A&W1,DSC_0602.NEF,-0.9957347378873633,-0.004857290347421681,4485.991020325256,0.007690451048198913,-1.0063598471795716,2849.922732096616,3.9965451394945225e-06,-7.681146024954378e-07,1.0
A&W1,DSC_0603.NEF,-0.9975852965091621,-0.0027141982115437002,4491.731446008584,0.00827429938726832,-1.0064128916732389,2852.635831610519,4.353239177304655e-06,1.202630308367087e-07,0.9999999999999999
A&W1,DSC_0605.NEF,-0.9964029099063192,-0.0029960675796181224,4481.266449717732,0.005282338603185541,-1.001295653394085,2844.933729363,2.6327326788532667e-06,5.758337839356388e-08,1.0
